Gender,qualification,occupation,internet_time_aday,Instagram,Youtube,Whatsapp,Facebook,Google,Snap chat,news_consume[Google],news_consume[Youtube],news_consume[TV],news_consume[NewsP],news_consume[Facebook],content_consume[Video],content_consume[Text],content_consume[Audio],content_consume[Meme],medium_trust[Video],medium_trust[Audio],medium_trust[Meme],medium_trust[Text],type_of_ content_trustP,type_of_ content_trustC,type_of_ content_trust S,type_of_ content_trust R,encountered_fake_ video,detect_fake_ video?,How_identify_fv[BG]?,How_identify_fv[Eye]?,How_identify_fv[lips]?,How_identify_fv[qual]?,detect_fake_ image?,How_identify_fimg[BG]?,How_identify_fimg[eye]?,How_identify_fimg[FaceE]?,How_identify_fimg[qual]?,post_v/I_social media?,How_often_post your v/i _ social_media?,Filter_apps[snap],Filter_apps[Insta],Filter_apps[B612],Filter_apps[galary],use_face swapping app?,tried_filer_celebface,1 videos/images received,Fv_voilate_persons_identity,target_fake images/videos?,tom_BF,obama_RF,obama_LF,heard_deep_fake?,srk,nawz_f,harp_R,emma_F,kevin_R,anush_F,Kajol_F,srk2_F,tom_F,will_F,emma_R,Jony_R,anan_F,nasir_F,Scores,statementby_political_leader,statementby_Celeb,statementby_religious_leader.,video/image_ true? [Political content],video/image_ true? [celeb content],video/image_ true? [Religious content],video/image_ true? [Humorous content],content_most likely to share? [Political content],content_most likely to share? [Religious content],content_most likely to share? [1 content],content_most likely to share? [Humorous content]
Male,School,Student,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,Yes,Yes,0,0,1,0,Yes,0,1,1,0,1,Daily,0,0,0,1,1,1,Believed and shared,1,1,Right,None,Second,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,6,26%-50%,26%- 30%,51%- 75%,2,2,1,3,2,3,1,4
Female,Graduate,Student,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,Maybe,Maybe,1,0,1,0,Maybe,0,0,1,1,0,Not applicable,1,0,0,1,0,0,Igored,1,0,None,Left,First,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,7,26%-50%,0%- 25%,0%- 25%,3,4,4,4,2,4,1,4
Female,Graduate,Private sector,5,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,Yes,Yes,1,1,1,1,Yes,1,1,1,1,1,Occasionally,1,1,0,0,0,0,Read and Igored,1,0,Both,None,First,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,10,26%-50%,26%- 30%,26%- 50%,2,2,2,2,2,2,2,2
Female,Post Graduate,Student,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Maybe,Yes,1,0,0,0,Yes,1,0,0,0,0,Not applicable,1,0,0,0,0,0,Believed and shared,0,0,Right,Right,First,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,6,51%-75%,31%- 75%,26%- 50%,2,3,3,2,2,2,1,2
Male,Graduate,Student,6,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Yes,Yes,1,1,1,1,Yes,1,1,1,1,0,Not applicable,0,0,0,0,1,1,Read and Igored,1,0,Both,Both,Both,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,10,76%-100%,76%- 100%,76%- 100%,1,1,1,1,1,1,1,1
Female,Graduate,Private sector,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Maybe,Yes,0,1,0,1,Yes,0,1,1,1,0,Not applicable,1,0,0,0,0,0,Read and Igored,0,1,Both,None,First,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,6,0%- 25%,0%- 25%,26%- 50%,1,4,3,5,3,2,4,4
Male,Graduate,Private sector,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Maybe,Yes,1,0,0,0,Yes,1,0,0,0,1,Not applicable,0,1,0,0,0,0,Igored,0,0,Right,Left,First,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,9,0%- 25%,0%- 25%,0%- 25%,1,1,1,1,1,1,1,1
Male,Graduate,Student,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,No,Yes,0,1,0,0,No,0,0,0,0,0,Occasionally,0,0,0,1,0,0,Read and Igored,1,0,Left,Left,None,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,10,76%-100%,31%- 75%,0%- 25%,1,3,1,3,1,1,1,1
Female,Graduate,Private sector,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Yes,Yes,0,0,0,1,Maybe,1,0,0,0,1,Occasionally,1,0,0,0,0,1,Not believed still shared,1,1,Left,Left,Both,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,11,76%-100%,0%- 25%,0%- 25%,3,1,3,1,3,1,3,1
Female,Graduate,Student,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,Yes,No,0,0,0,0,Maybe,1,0,1,0,0,Not applicable,1,0,0,1,1,1,Read and Igored,1,0,Left,None,None,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,26%-50%,0%- 25%,0%- 25%,1,4,1,1,1,1,5,4
Female,Graduate,Student,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Yes,Yes,0,0,0,1,Maybe,0,0,1,0,0,Occasionally,1,0,0,0,0,0,Not believed still shared,1,0,Right,Left,First,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,7,26%-50%,0%- 25%,26%- 50%,3,3,3,3,3,2,3,3
Female,Post Graduate,Student,6,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,Yes,Maybe,1,0,1,1,Maybe,1,1,1,1,1,Occasionally,0,1,0,1,0,0,Read and forward,1,0,Left,Right,First,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,9,0%- 25%,0%- 25%,0%- 25%,1,3,1,3,1,1,2,4
Male,Jr College,Student,3,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,Yes,Maybe,1,1,1,1,Maybe,0,1,1,1,1,Not applicable,1,0,0,1,0,0,Igored,1,0,None,Left,Second,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,9,76%-100%,0%- 25%,0%- 25%,1,2,2,3,1,3,1,5
Female,Post Graduate,Student,5,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,Maybe,Yes,1,1,1,1,Yes,1,0,0,1,1,Occasionally,0,1,0,0,0,0,Igored,1,0,Both,None,First,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,8,0%- 25%,0%- 25%,0%- 25%,1,2,2,3,1,1,2,4
Female,Graduate,Student,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Yes,Maybe,1,0,0,0,Maybe,0,0,1,0,0,Not applicable,0,0,0,0,0,0,Read and Igored,1,0,Both,Both,Both,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,1,1,2,1,1,1,3
Male,Jr College,Business,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Yes,No,0,0,0,0,No,0,0,0,0,0,Not applicable,0,0,0,1,0,0,Read and Igored,1,0,Left,Right,None,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,7,26%-50%,0%- 25%,26%- 50%,1,3,2,3,1,3,2,3
Male,Graduate,Private sector,3,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,Yes,Yes,1,0,1,0,No,0,0,0,0,1,Occasionally,0,1,0,1,0,0,Believed and shared,0,0,Left,Right,Second,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,4,26%-50%,0%- 25%,0%- 25%,1,4,3,4,1,3,2,4
Male,Graduate,Student,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,No,Yes,1,0,0,1,Maybe,1,0,0,1,1,Not applicable,0,1,0,0,0,0,Read and forward,0,0,Right,Left,Second,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,7,26%-50%,26%- 30%,51%- 75%,2,3,2,2,3,3,2,2
Male,Graduate,Private sector,6,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Yes,Yes,0,0,0,1,Maybe,0,0,0,1,0,Occasionally,1,1,0,0,0,0,Read and Igored,1,0,Both,Right,Second,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,10,51%-75%,76%- 100%,76%- 100%,1,4,4,4,1,4,1,4
Female,Graduate,Student,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Maybe,No,0,0,0,0,No,0,0,0,0,1,Occasionally,1,1,0,0,0.5,0,Read and Igored,1,0,Left,Left,None,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,4,26%-50%,0%- 25%,26%- 50%,3,3,2,1,2,4,2,2
Male,Post Graduate,Sarvice,3,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,No,Yes,0,1,1,1,Yes,1,0,1,1,1,Occasionally,0,0,0,1,1,0,Read and Igored,1,0,Right,Both,First,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,7,26%-50%,31%- 75%,26%- 50%,2,4,4,3,3,4,3,2
Female,Jr College,Student,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,Yes,Yes,1,1,1,1,Yes,1,1,1,1,0,Not applicable,1,1,0,0,0,0,Read and forward,0,0,Right,None,None,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,9,0%- 25%,0%- 25%,26%- 50%,2,3,3,2,2,3,4,2
Female,Graduate,Student and house keeper,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,Yes,Maybe,1,0,1,0,Yes,1,1,1,1,0,Not applicable,0,0,0,0,0,0,Read and Igored,1,1,None,None,First,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,2,1,2,1,3,1,5
Male,Post Graduate,Private sector,3,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,Yes,Maybe,1,0,0,0,Maybe,1,0,0,0,1,Occasionally,0,1,0,0,0,0,Read and Igored,1,0,Left,Left,Second,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,5,0%- 25%,0%- 25%,0%- 25%,1,3,2,1,1,2,2,3
Male,Jr College,Student,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Maybe,Maybe,0,1,0,0,Yes,0,1,0,0,0,Not applicable,0,0,0,1,0,0,Igored,0,0,None,Left,None,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,4,26%-50%,26%- 30%,51%- 75%,1,3,3,1,1,3,1,1
Female,Graduate,Student,5,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,Maybe,Maybe,1,1,1,1,Maybe,1,0,1,1,0,Not applicable,1,0,0,0,0,0,Read and Igored,1,0,Right,Right,First,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,9,51%-75%,0%- 25%,0%- 25%,1,4,3,4,1,3,2,5
Male,Graduate,Student,3,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Maybe,Maybe,1,0,0,1,Maybe,1,1,0,1,0,Occasionally,0,1,0,0,0,0,Read and Igored,1,0,Right,Right,Both,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,8,0%- 25%,31%- 75%,26%- 50%,2,5,4,3,3,3,5,3
Female,Graduate,Business,5,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,Maybe,Maybe,0,1,0,0,Maybe,0,0,1,1,0,Not applicable,1,0,1,0,0,0,Not believed still shared,1,1,Right,Right,None,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,6,0%- 25%,0%- 25%,0%- 25%,1,3,1,1,1,1,4,1
Male,Graduate,Student,3,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,Yes,Yes,1,1,1,0,Yes,1,1,1,0,1,Occasionally,0,1,0,0,0,0,Read and Igored,1,0,Both,Right,First,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,11,26%-50%,0%- 25%,0%- 25%,2,4,5,5,2,5,4,5
Male,Post Graduate,Business,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Maybe,Maybe,0,0,1,0,No,0,0,0,0,1,Occasionally,0,0,0,1,0,0,Read and Igored,1,0,Left,Right,First,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,4,0%- 25%,0%- 25%,0%- 25%,1,5,5,5,1,3,3,3
Male,Post Graduate,Student,5,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,Maybe,No,0,0,0,0,No,0,0,0,0,1,Occasionally,1,0,0,1,0,0,Read and Igored,1,0,Right,None,First,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,7,26%-50%,0%- 25%,0%- 25%,3,5,3,4,3,3,3,4
Male,Post Graduate,Student,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,Yes,Maybe,0,0,1,0,No,0,0,0,0,0,Not applicable,1,0,0,0,0.5,0,Read and Igored,1,0,Left,Right,None,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,9,76%-100%,0%- 25%,0%- 25%,1,4,1,5,3,5,1,5
Male,Graduate,Private sector,5,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,Yes,Yes,1,1,0,0,Maybe,1,1,1,0,0,Not applicable,0,0,0,1,0,0,Believed and shared,1,0,Right,Left,None,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,7,0%- 25%,0%- 25%,0%- 25%,1,5,1,4,1,1,1,4
Female,Post Graduate,Student,6,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Maybe,Maybe,1,0,1,1,No,0,0,0,0,1,Occasionally,0,1,0,0,0,0,Read and Igored,1,0,Left,Left,First,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,6,26%-50%,0%- 25%,26%- 50%,1,3,2,2,2,3,1,2
Female,Post Graduate,Private sector,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Maybe,No,0,0,0,0,Maybe,0,0,0,1,0,Not applicable,0,0,0,1,0,0,Read and Igored,1,0,Left,Right,Second,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0%- 25%,0%- 25%,51%- 75%,4,4,4,4,1,1,1,4
Female,Post Graduate,Private sector,3,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,0,Occasionally,0,0,0,1,0,0,Read and Igored,1,0,Both,Right,None,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,8,0%- 25%,0%- 25%,0%- 25%,1,3,1,3,1,1,2,3
Male,Graduate,Student,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Maybe,Yes,1,0,1,1,Maybe,1,0,1,0,1,Occasionally,0,0,0,0,0,0,Igored,1,0,Both,Right,First,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,3,2,4,1,1,1,5
Female,Post Graduate,Student,6,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,Yes,Maybe,1,0,1,0,Maybe,0,0,1,1,1,Occasionally,0,1,0,0,0,0,Read and Igored,1,0,Right,Right,None,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,2,1,2,1,1,4,5
Male,School,Student,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,Yes,Yes,0,0,0,1,Yes,0,0,1,0,1,Occasionally,0,0,1,0,0,0.3,Not believed still shared,0,1,Right,Both,Second,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,8,51%-75%,26%- 30%,51%- 75%,2,2,2,3,3,2,3,3
Female,Jr College,Student,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Maybe,No,0,0,0,0,No,0,0,0,0,0,Not applicable,1,0,0,0,0,0,Read and Igored,1,0,Right,None,Second,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,9,0%- 25%,0%- 25%,0%- 25%,1,3,3,1,1,1,1,1
Female,Graduate,Housewife,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Maybe,Yes,1,0,0,1,Yes,0,0,1,0,1,Occasionally,1,0,0,0,0,0,Igored,1,0,Right,Right,Second,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,4,0%- 25%,0%- 25%,76%- 100%,2,5,3,2,3,5,5,5
Female,Jr College,Student,5,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,No,No,0,0,0,0,No,0,0,0,0,0,Not applicable,1,0,0,0,0,0,Igored,0,1,Left,Right,Both,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,6,26%-50%,0%- 25%,51%- 75%,3,2,2,1,1,3,3,2
Male,Jr College,Student,6,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,No,Yes,1,1,1,1,Yes,1,1,1,1,1,Occasionally,0,1,0,1,0,0,Igored,0,0,Right,Left,Second,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,9,0%- 25%,0%- 25%,0%- 25%,1,1,1,1,1,1,1,1
Female,School,Job,6,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,No,No,0,0,0,0,No,0,0,0,0,1,Not applicable,0,1,0,0,0,1,Read and Igored,0,0,Left,Left,Both,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,9,76%-100%,76%- 100%,51%- 75%,3,4,4,4,2,4,3,4
Male,Graduate,Private sector,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,Yes,No,0,0,0,0,No,0,0,0,0,0,Not applicable,0,0,0,1,0,0,Believed and shared,0,0,Right,Right,First,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,10,0%- 25%,26%- 30%,0%- 25%,1,2,1,1,1,1,5,2
Female,Post Graduate,Student,3,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,Yes,Maybe,1,1,1,1,Maybe,0,1,1,0,1,Occasionally,1,0,0,0,0,0,Read and Igored,1,0,None,Left,Second,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,9,26%-50%,0%- 25%,0%- 25%,2,3,1,2,2,1,1,3
Male,Post Graduate,Student,5,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,Yes,Maybe,1,0,0,0,Maybe,1,1,1,0,1,Occasionally,0,0,0,1,0,0,Read and forward,1,0,Right,Right,First,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,8,26%-50%,0%- 25%,0%- 25%,1,3,3,3,1,3,2,4
Male,Graduate,Private sector,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,Maybe,Yes,0,1,0,1,Yes,1,1,0,1,1,Occasionally,1,0,0,1,0.5,0.3,Read and Igored,1,0,Both,Both,First,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,7,76%-100%,76%- 100%,51%- 75%,3,1,2,2,1,1,1,2
Female,Graduate,Student,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,No,No,0,0,0,0,Yes,0,0,0,1,0,Not applicable,1,0,0,0,0,0,Read and Igored,0,0,Left,Right,First,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,7,0%- 25%,0%- 25%,26%- 50%,2,1,1,2,1,3,4,5
Female,Jr College,Student,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,No,Maybe,0,1,0,0,Maybe,0,1,0,0,0,Not applicable,1,0,0,0,0,0,Believed and shared,1,1,None,None,First,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,4,76%-100%,0%- 25%,0%- 25%,2,5,5,5,1,5,1,5
Female,School,Housewife,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Maybe,No,0,0,0,0,No,0,0,0,0,1,Occasionally,1,0,0,0,0,0.3,Read and forward,0,0,Both,Left,None,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,8,0%- 25%,0%- 25%,0%- 25%,5,4,3,2,2,4,3,1
Female,Jr College,Student,5,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,Yes,Yes,1,1,1,1,Yes,1,1,1,1,1,Not applicable,1,1,0,0,0,0,Read and forward,0,0,Right,Left,First,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,6,0%- 25%,76%- 100%,26%- 50%,5,1,3,4,5,3,1,2
Male,Post Graduate,Student,6,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,Yes,Maybe,1,1,0,1,Maybe,1,1,1,1,1,Occasionally,0,0,0,1,0,0,Igored,1,0,Left,Right,First,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,5,51%-75%,0%- 25%,0%- 25%,2,3,3,4,1,1,1,4
Male,Post Graduate,Private sector,6,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,No,Maybe,1,1,1,1,Maybe,1,0,1,1,1,Occasionally,1,1,0,1,0,0,Igored,1,0,Both,Left,First,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,3,1,1,1,1,1,2
